"608 Bernstein St # 15, Austin, TX 78745","{'/showPropertyInfo.do?account=04241103160000'}"
"1615 E. 7th St #205, Austin, TX 78702","set()"
"5908 Garden Oaks Dr, Austin, TX 78745","{'/showPropertyInfo.do?account=04171004040000', '/showPropertyInfo.do?account=03103801270201', '/showPropertyInfo.do?account=03104005080201'}"
"7001 Thannas Way, Austin, TX 78744","{'/showPropertyInfo.do?account=04280116070000'}"
"814 Banister Ln, Austin, TX 78704","{'/showPropertyInfo.do?account=04070608080000'}"
"4713 Yucca Hill Dr, Austin, TX 78744","{'/showPropertyInfo.do?account=03112005010401', '/showPropertyInfo.do?account=03112005010430', '/showPropertyInfo.do?account=03112005010289', '/showPropertyInfo.do?account=03112005010311', '/showPropertyInfo.do?account=03112005010422', '/showPropertyInfo.do?account=03112005010209', '/showPropertyInfo.do?account=03112005010262', '/showPropertyInfo.do?account=03112005010365', '/showPropertyInfo.do?account=03112005010403', '/showPropertyInfo.do?account=03112005010390'}"
"804 W Johanna St APT A, Austin, TX 78704","{'/showPropertyInfo.do?account=03103804020201', '/showPropertyInfo.do?account=02355906030202', '/showPropertyInfo.do?account=02356219010202', '/showPropertyInfo.do?account=03078002180201', '/showPropertyInfo.do?account=02679902030201', '/showPropertyInfo.do?account=90490630000000', '/showPropertyInfo.do?account=02355903030201', '/showPropertyInfo.do?account=02355906030204', '/showPropertyInfo.do?account=01061610010000', '/showPropertyInfo.do?account=02107001060203'}"
"5229 Kings Hwy, Austin, TX 78745","{'/showPropertyInfo.do?account=04111306100000'}"
"6114 Marigold Ter, Austin, TX 78741","{'/showPropertyInfo.do?account=03071505250000'}"
"608 Bernstein St # 15, Austin, TX 78745","{'/showPropertyInfo.do?account=04241103160000'}"
"1615 E. 7th St #205, Austin, TX 78702","set()"
"5908 Garden Oaks Dr, Austin, TX 78745","{'/showPropertyInfo.do?account=04171004040000', '/showPropertyInfo.do?account=03103801270201', '/showPropertyInfo.do?account=03104005080201'}"
"7001 Thannas Way, Austin, TX 78744","{'/showPropertyInfo.do?account=04280116070000'}"
"814 Banister Ln, Austin, TX 78704","{'/showPropertyInfo.do?account=04070608080000'}"
"4713 Yucca Hill Dr, Austin, TX 78744","{'/showPropertyInfo.do?account=03112005010401', '/showPropertyInfo.do?account=03112005010430', '/showPropertyInfo.do?account=03112005010289', '/showPropertyInfo.do?account=03112005010311', '/showPropertyInfo.do?account=03112005010422', '/showPropertyInfo.do?account=03112005010209', '/showPropertyInfo.do?account=03112005010262', '/showPropertyInfo.do?account=03112005010365', '/showPropertyInfo.do?account=03112005010403', '/showPropertyInfo.do?account=03112005010390'}"
"5312 Kara Dr, Austin, TX 78744","{'/showPropertyInfo.do?account=03281801030000'}"
"804 W Johanna St APT A, Austin, TX 78704","{'/showPropertyInfo.do?account=03103804020201', '/showPropertyInfo.do?account=02355906030202', '/showPropertyInfo.do?account=02356219010202', '/showPropertyInfo.do?account=03078002180201', '/showPropertyInfo.do?account=02679902030201', '/showPropertyInfo.do?account=90490630000000', '/showPropertyInfo.do?account=02355903030201', '/showPropertyInfo.do?account=02355906030204', '/showPropertyInfo.do?account=01061610010000', '/showPropertyInfo.do?account=02107001060203'}"
"5229 Kings Hwy, Austin, TX 78745","{'/showPropertyInfo.do?account=04111306100000'}"
