4 bds5 ba5,100 sqft
4 bds3 ba2,190 sqft
6 bds7 ba7,341 sqft
10.65 acres lot
5 bds6 ba6,066 sqft
4 bds4 ba3,883 sqft
5 bds4 ba3,887 sqft
4 bds4 ba3,856 sqft
6 bds7 ba7,931 sqft
5 bds4 ba4,155 sqft
4 bds4 ba3,479 sqft
4 bds4 ba3,733 sqft
4 bds4 ba6,046 sqft
4 bds4 ba3,590 sqft
4 bds4 ba2,765 sqft
5 bds4 ba4,941 sqft
4 bds3 ba2,715 sqft
4 bds3 ba2,977 sqft
4 bds4 ba3,301 sqft
3 bds3 ba2,234 sqft
4 bds3 ba3,077 sqft
3 bds3 ba3,929 sqft
4 bds4 ba3,392 sqft
3 bds4 ba3,206 sqft
4 bds5 ba4,592 sqft
4 acres lot
5 bds5 ba3,751 sqft
4 bds3 ba2,650 sqft
4 bds3 ba2,757 sqft
4 bds4 ba4,646 sqft
5 bds4 ba3,690 sqft
4 bds4 ba4,084 sqft
5 bds4 ba3,407 sqft
5 bds5 ba3,661 sqft
5 bds4 ba5,107 sqft
4 bds4 ba3,694 sqft
5 bds7 ba5,303 sqft
3 bds3 ba2,144 sqft
5 bds5 ba4,298 sqft
5 bds4 ba4,433 sqft
